class,score,x1,y1,x2,y2
solder,0.9073207974433899,245,116,372,250
solder,0.9066497087478638,759,398,850,433
solder,0.9220401644706726,584,100,618,209
solder,0.9255380630493164,582,493,616,602
solder,0.919988214969635,758,272,850,307
solder,0.9301602244377136,740,334,851,371
solder,0.9122368693351746,644,494,681,601
solder,0.8826307058334351,243,448,367,581
solder,0.9122942090034485,647,99,682,210
solder,0.9071632027626038,706,494,744,603
solder,0.8919241428375244,709,99,745,209
voids,0.7980380654335022,261,137,295,170
solder,0.7965632081031799,769,462,845,582
voids,0.8026472330093384,538,337,565,365
voids,0.6973891854286194,336,208,353,223
solder,0.6999332904815674,772,108,838,246
voids,0.6678548455238342,273,341,288,355
voids,0.710114598274231,232,342,250,359
voids,0.6922400593757629,372,335,386,348
voids,0.705868661403656,436,351,452,366
solder,0.8518020510673523,439,102,494,239
voids,0.627623975276947,309,216,323,228
voids,0.5635071992874146,287,540,306,556
voids,0.519535481929779,471,219,487,234
solder,0.8728421330451965,433,458,493,600
voids,0.5128262639045715,353,233,366,245
voids,0.5112712383270264,337,537,353,549
voids,0.6285930275917053,448,216,465,229
solder-long,0.7945385575294495,220,321,601,382
voids,0.5219112038612366,291,509,305,521
